<Trait>	Height
B001	9.89187861
B002	9.88235647
B003	9.50196155
B004	10.4054739
B005	8.71016069
B006	10.33042675
B007	17.96355089
B008	8.68189723
B009	9.6439689
B010	6.10336978
B011	7.24733418
B012	17.2363506
B013	14.18021998
B015	9.03634535
B016	8.48708634
B019	8.67970001
B020	18.78597601
B021	16.49566768
B022	10.73666618
B023	8.6144798
B024	7.95891516
B025	10.6382662
B026	16.57465265
B027	9.43840202
B028	14.95328707
B030	8.29662947
B031	9.34443462
B032	14.92202684
B033	8.64408159
B034	9.58648798
B037	8.51199967
B038	10.67733425
B039	10.43182403
B040	9.24242983
B041	10.75765044
B042	9.83377956
B043	7.59385794
B044	7.80881338
B045	5.475733431
B046	18.76021315
B047	8.08381171
B048	11.26594463
B049	10.28778451
B050	8.62365291
B051	10.72605847
B052	9.63265447
B053	5.663558104
B054	8.97674311
B055	8.88054013
B056	10.15963486
B057	8.82992089
B058	7.75279876
B059	6.13057056
B060	11.8163087
B061	9.34443462
B062	17.04477831
B063	9.42534705
B064	9.04262125
B065	7.22136055
B066	7.28828934
B067	10.07856781
B068	8.83190099
B069	9.6883596
B070	8.85155386
B071	6.50196155
B073	19.96578992
B074	6.97486267
B075	6.09143539
B076	11.20231517
B078	16.87272297
B079	9.67738932
B080	7.67551604
B081	6.01898253
B083	6.36741475
B085	16.43833704
B089	21.13069372
B090	16.52656037
B091	6.73142511
B092	16.70999921
B093	8.26766454
B094	10.07020482
B096	9.25576626
B097	8.27932039
B098	9.63265447
B100	16.99704713
B101	8.74840253
B102	13.98406237
B103	9.50196155
B104	8.68189723
B108	10.01026584
B109	9.94772824
B110	8.67970001
B111	9.33049678
B112	15.91073641
B113	20.47358289
B114	5.02107757
B115	10.10336978
B116	9.57460831
B118	19.72734217
B119	19.8237715
B120	10.67733425
B121	8.6144798
B122	17.65231283
B123	11.28413728
B124	7.48622225
B125	11.20231517
B126	9.44800335
B128	19.25119575
B129	20.79551019
B131	10.92930465
B133	10.93392113
B134	11.07016288
B135	10.64391254
B136	9.59816884
B137	10.61545722
B138	7.93392113
B139	20.14569835
B140	8.90519895
B141	10.34083241
B142	8.51199967
B143	9.1707075
B144	10.82381503
B145	10.68830496
B146	11.81380624
B147	11.15564837
B149	10.80377797
B150	10.82878111
B151	20.8846505
B152	18.5597505
B153	11.87989431
B155	9.16547626
B156	9.07363951
B157	11.29852802
B158	16.62119336
B159	8.5020859
B160	11.83617367
B161	8.49959678
B162	8.28511319
B163	11.93159165
B164	10.0868826
B165	11.22132278
B166	11.80122839
B167	6.35645197
B168	16.62690679
B169	7.67551604
B170	9.76290105
B171	8.86708565
B172	10.11967067
B173	10.54478336
B174	9.2213039
B175	10.61545722
B176	9.04688952
B177	18.79868695
B179	11.66902344
B180	9.7937049
B181	9.550867
B182	8.48959712
B183	10.26598124
B184	11.29135059
B185	17.48623796
B187	6.38909352
B188	9.02542077
B190	7.21127995
B192	9.76290105
B193	9.87277106
B194	5.76714991
B195	20.42931274
B196	9.56283865
B197	18.95448033
B198	4.451211112
B199	17.01893908
B200	11.06175089
B202	11.36156688
B203	11.85089492
B204	9.47517927
B208	11.82627537
B209	10.0868826
B211	21.16545908
B212	18.97702272
B213	5.463524373
B214	11.09922451
B215	7.25491788
B216	10.66627949
B217	9.51434421
B219	17.72336764
B221	7.49735289
B224	17.63823791
B225	10.63259767
B227	11.40544066
B228	10.11154325
B229	19.0743192
B230	11.6410639
B231	10.66627949
B232	9.80382841
B233	6.05120894
B234	18.83616133
B235	9.50196155
B237	10.85822389
B238	10.02764687
B239	10.13578943
B240	11.7099723
B241	9.32335388
B242	7.06175089
B243	9.8726869
B244	9.90133832
B245	10.1908278
B246	18.60387261
B247	11.19464145
B248	9.04661247
B249	6.09098075
B250	8.48708634
B251	5.475733431
B254	7.95891516
B255	8.47699929
B256	8.45146871
B257	7.81016994
B258	6.62690679
B261	8.38559281
B262	6.70460615
B263	6.83373016
B264	16.20617495
B268	9.91073641
B269	10.62119336
B272	10.1908278
B273	18.79868695
B274	6.93856883
B275	8.4437206
B276	10.1517301
B277	10.43833704
B278	10.50189937
B279	9.93856883
B280	9.6883596
B281	7.78176951
B283	7.15963486
B284	6.75243292
B285	7.58648798
B286	8.98744167
B287	4.77807713
B288	7.56283865
B289	6.77833385
B291	7.06179307
B292	4.665335917
B293	6.85340703
B294	8.42547819
B295	8.8957646
B297	6.25000227
B298	9.27044134
B299	16.36502375
B301	8.38289417
B302	7.58918297
B303	10.69375918
B304	10.07020482
B305	6.05120894
B306	6.04688952
B308	10.44482078
B309	8.38559281
B310	8.75049764
B311	9.60975589
B312	11.24008322
B313	10.12775256
B314	8.38289417
B316	6.84109746
B317	17.34085848
B321	9.6439689
B323	7.80881338
B324	8.80996905
B325	9.550867
B326	10.82878111
B328	18.66623787
B329	8.37748169
B331	7.83011903
B332	9.45133992
B333	6.6708775
B334	8.82793808
B335	7.98150039
B336	8.48959712
B337	9.59816884
B338	9.63265447
B340	6.54206454
B341	8.8938703
B342	10.4054739
B343	8.71016069
B346	9.3582391
B347	10.82878111
B348	15.65519528
B349	8.42547819
B350	7.62616532
B351	8.82595254
B352	7.71037597
B354	14.76507886
B355	6.47269084
B356	8.75467876
B357	10.23638798
B358	6.51274046
B359	4.471675214
B360	10.53873457
B364	8.96596461
B365	9.50196155
B366	10.30926317
B367	7.08414401
B368	8.30805456
B369	10.0868826
B370	9.46416282
B373	11.79616639
B374	11.46725528
B375	9.78350986
B377	8.92944336
B378	11.98595309
B379	8.45146871
B380	10.30213909
B381	8.20792945
B382	10.1517301
B383	9.10016953
B385	11.2622784
B386	10.00149616
B389	8.81197669
B390	10.1517301
B391	7.81016994
B392	8.20181762
B393	9.08198267
B394	8.64408159
B395	17.2622784
B396	8.37748169
B397	11.19464145
B398	8.84176089
B399	8.29662947
B400	8.47699929
B401	8.4437206
B402	10.01026584
B403	8.28511319
B405	6.87728413
B406	8.5020859
B407	9.56283865
B412	8.96596461
B413	6.09143539
B414	8.27932039
B415	8.18021998
B416	5.493855449
B417	8.49959678
B418	8.30805456
B419	7.64880695
B420	8.62365291
B421	8.26766454
B422	9.3582391
B428	6.35645197
B429	6.58025857
B431	11.75501795
B432	8.20792945
B433	8.20181762
B434	8.18021998
B436	18.95448033
B501	18.97702272
B502	17.34085848
B504	17.01893908
B505	16.99704713
B506	13.98406237
B507	21.16545908
B509	18.83616133
B510	15.91073641
B511	20.47358289
B513	7.93392113
B514	8.08381171
B515	7.83011903
B516	19.72734217
B517	19.8237715
B518	17.48623796
B519	17.65231283
B521	18.60387261
B522	16.99704713
B523	20.42931274
B524	16.20617495
B525	17.72336764
B526	19.0743192
B527	19.25119575
B528	15.91073641
B529	17.63823791
B530	20.47358289
B531	20.79551019
B532	16.36502375
B533	13.98406237
B534	19.72734217
B535	20.14569835
B536	20.8846505
B537	18.5597505
B538	19.8237715
xiaomi	7.98150039
B191	NaN
